Rate,Model,Size (%),Comp Speed (MB/s),Decomp Speed (MB/s),mmlu/acc,mmlu_humanities/acc,mmlu_other/acc,mmlu_social_sciences/acc,mmlu_stem/acc,ifeval/prompt_strict_acc,ifeval/inst_strict_acc,ifeval/prompt_loose_acc,ifeval/inst_loose_acc,gsm8k/acc,mt_bench/speed,mt_bench/saved
0.0,llama3.1-8b-1,45.24,1258.1,4960.4,0.6808146987608603,0.6439957492029755,0.7457354361120051,0.7692557686057848,0.5854741516016492,0.42513863216266173,0.5731414868105515,0.4731977818853974,0.6091127098321343,0.7536012130401819,41.46237285876347,1.0
0.0001,llama3.1-8b-1,45.23,1201.1,5061.4,0.680885913687509,0.6442082890541977,0.7463791438686836,0.7708807279818004,0.5832540437678402,0.4454713493530499,0.5875299760191847,0.4898336414048059,0.6199040767386091,0.7498104624715694,41.462549278755326,1.0
0.0005,llama3.1-8b-1,45.23,1202.6,5032.0,0.6809571286141576,0.6450584484590861,0.7457354361120051,0.7692557686057848,0.584522676815731,0.4232902033271719,0.5743405275779376,0.47504621072088726,0.6103117505995204,0.7558756633813495,41.38038278432401,1.0
0.001,llama3.1-8b-1,45.22,1216.2,5027.0,0.6806010539809144,0.6442082890541977,0.7444480205986482,0.769580760480988,0.5851569933396765,0.4214417744916821,0.5683453237410072,0.4565619223659889,0.5947242206235012,0.7513267626990144,41.28629115031994,1.0
0.005,llama3.1-8b-1,45.01,1226.5,5039.2,0.6811707733941034,0.6463336875664187,0.7447698744769874,0.7689307767305817,0.5848398350777038,0.4214417744916821,0.565947242206235,0.45286506469500926,0.5911270983213429,0.7558756633813495,41.2457836061424,1.0
0.01,llama3.1-8b-1,44.04,1216.7,5201.6,0.6810283435408061,0.6456960680127524,0.744126166720309,0.7689307767305817,0.5857913098636219,0.43068391866913125,0.579136690647482,0.4879852125693161,0.6235011990407674,0.7482941622441244,41.243348500966356,1.0
0.02,llama3.1-8b-1,40.5,1239.2,5282.6,0.6805298390542658,0.6435706695005313,0.7434824589636305,0.769580760480988,0.5867427846495401,0.4121996303142329,0.5623501199040767,0.4676524953789279,0.60431654676259,0.7270659590598939,41.35446508079969,1.0
0.03,llama3.1-8b-1,36.53,1148.5,5020.2,0.6802449793476713,0.6414452709883103,0.7438043128419698,0.7702307442313943,0.5876942594354583,0.4029574861367837,0.5539568345323741,0.4491682070240296,0.5887290167865707,0.7149355572403336,41.40058746688204,1.0
0.04,llama3.1-8b-1,32.61,1077.8,5237.3,0.6813132032474006,0.6427205100956429,0.7450917283553267,0.7718557036074098,0.5876942594354583,0.41035120147874304,0.564748201438849,0.4454713493530499,0.5887290167865707,0.730098559514784,41.47319522016822,1.0
0.05,llama3.1-8b-1,28.96,1074.7,5054.5,0.6830223614869677,0.6427205100956429,0.7450917283553267,0.7725056873578161,0.5946717411988582,0.3900184842883549,0.5335731414868106,0.4214417744916821,0.5611510791366906,0.731614859742229,41.520774077142185,1.0
0.1,llama3.1-8b-1,12.07,813.2,7851.5,0.6569576983335708,0.594048884165781,0.7306083038300611,0.764380890477738,0.5734221376466857,0.19593345656192238,0.328537170263789,0.2088724584103512,0.34652278177458035,0.6846095526914329,41.425367860072505,1.0
0.12,llama3.1-8b-1,6.79,933.7,7580.4,0.6524711579547073,0.5904357066950053,0.722240102993241,0.76145596360091,0.5699333967649858,0.15711645101663585,0.2949640287769784,0.16081330868761554,0.2997601918465228,0.6133434420015162,41.395950670786064,1.0
0.15,llama3.1-8b-1,2.73,1063.5,7079.8,0.6434980771969805,0.5819341126461212,0.718056002574831,0.7500812479688008,0.5578813828100222,0.15157116451016636,0.2865707434052758,0.1589648798521257,0.2949640287769784,0.55420773313116,41.303507863030234,1.0
